Period,Domain,Notice ID,Date,URLs Claimed,URLs Removed,Reporter,Owner,Lumen URL
S2 2025,footballwhispers.com,39870316,2025-12-17,4,0,Carla Miller,Carla Miller,https://lumendatabase.org/notices/75810602
S2 2025,vringe.com,39851692,2025-12-17,7,0,Fred Altayeb,Fred Altayeb,https://lumendatabase.org/notices/75810274
S2 2025,vringe.com,39799040,2025-12-17,4,0,Kim Rogers,Kim Rogers,https://lumendatabase.org/notices/75825729
S2 2025,vringe.com,39709472,2025-12-17,4,0,Cheryl Johnson,Cheryl Johnson,https://lumendatabase.org/notices/75804375
S2 2025,vringe.com,39747982,2025-12-17,6,0,Kevin Sims,Kevin Sims,https://lumendatabase.org/notices/75812015
S2 2025,vringe.com,39731338,2025-12-17,5,0,Tyrone Douglas,Tyrone Douglas,https://lumendatabase.org/notices/75793390
S2 2025,vringe.com,39724269,2025-12-17,4,0,Simone Smith,Simone Smith,https://lumendatabase.org/notices/75786904
S2 2025,vringe.com,39859249,2025-12-17,7,0,Kelvin Owens,Kelvin Owens,https://lumendatabase.org/notices/75783193
S2 2025,vringe.com,39856484,2025-12-17,4,0,Michael Vega,Michael Vega,https://lumendatabase.org/notices/75797372
S2 2025,vringe.com,39821985,2025-12-17,6,0,Ashley Johnson,Ashley Johnson,https://lumendatabase.org/notices/75806632
S2 2025,vringe.com,39766569,2025-12-17,6,0,Christina Baker,Christina Baker,https://lumendatabase.org/notices/75806845
S2 2025,bojoko.com,39392774,2025-12-05,4,0,Боян Субботин,Боян Субботин,https://lumendatabase.org/notices/75251870
S2 2025,vringe.com,38732811,2025-11-27,5,0,HHK eCommerce Consulting LTD,HHK eCommerce Consulting LTD,https://lumendatabase.org/notices/74806762
S2 2025,bojoko.com,38735948,2025-11-26,16,0,Lisa Harris,Lisa Harris,https://lumendatabase.org/notices/74755234
S2 2025,bojoko.com,38660134,2025-11-26,16,0,Tameka Banks,Tameka Banks,https://lumendatabase.org/notices/74765566
S2 2025,bojoko.com,39061204,2025-11-26,6,5,Alex Crutchfield,Alex Crutchfield,https://lumendatabase.org/notices/74765748
S2 2025,bojoko.com,38976977,2025-11-26,12,0,Mitchell Hill,Mitchell Hill,https://lumendatabase.org/notices/74757903
S2 2025,bojoko.ca,38754472,2025-11-26,17,0,Максим Маслов,Максим Маслов,https://lumendatabase.org/notices/74755003
S2 2025,bojoko.ca,38818350,2025-11-26,15,0,Michelle Thompson,Michelle Thompson,https://lumendatabase.org/notices/74767139
S2 2025,bojoko.ca,38844398,2025-11-26,18,0,Sharon Harrison,Sharon Harrison,https://lumendatabase.org/notices/74767950
S2 2025,bojoko.ca,38700432,2025-11-26,19,0,Ryan Nava,Ryan Nava,https://lumendatabase.org/notices/74756448
S2 2025,bojoko.ca,39174045,2025-11-26,17,0,Аня Мокрушина,Аня Мокрушина,https://lumendatabase.org/notices/74765924
S2 2025,bojoko.ca,38743071,2025-11-26,15,0,Amy Richards,Amy Richards,https://lumendatabase.org/notices/74754952
S2 2025,bojoko.ca,38880688,2025-11-26,15,0,Stephanie Shelton,Stephanie Shelton,https://lumendatabase.org/notices/74762739
S2 2025,bojoko.ca,38638716,2025-11-26,19,0,April Martin,April Martin,https://lumendatabase.org/notices/74759057
S2 2025,bojoko.ca,38744967,2025-11-26,9,0,Crystal Smith,Crystal Smith,https://lumendatabase.org/notices/74758946
S2 2025,mundodeportivo.com,38694554,2025-11-23,65,65,Leak Cleaner,Leak Cleaner,https://lumendatabase.org/notices/74557982
S2 2025,vringe.com,38952752,2025-11-21,4,2,April Arnold,April Arnold,https://lumendatabase.org/notices/74465759
S2 2025,vringe.com,39228020,2025-11-21,4,0,Andrew Holmes,Andrew Holmes,https://lumendatabase.org/notices/74476775
S2 2025,vringe.com,39214814,2025-11-21,7,5,Sarah Brown,Sarah Brown,https://lumendatabase.org/notices/74487004
S2 2025,vringe.com,39007728,2025-11-21,6,4,Kevin Fletcher,Kevin Fletcher,https://lumendatabase.org/notices/74478387
S2 2025,observador.pt,38508609,2025-11-17,1,0,OAAK Law Firm,Inês Vitale,https://lumendatabase.org/notices/74222182
S2 2025,mrfixitstips.co.uk,38360394,2025-11-17,46,0,ANADOLU EFES BİRACILIK VE MALT SANAYİİ A.Ş.,ANADOLU EFES BİRACILIK VE MALT SANAYİİ A.Ş.,https://lumendatabase.org/notices/74237897
S2 2025,footballwhispers.com,38222121,2025-11-15,7,0,Josh Staver,Josh Staver,https://lumendatabase.org/notices/74138293
S2 2025,footballwhispers.com,38219751,2025-11-15,6,0,Austin Ortiz,Austin Ortiz,https://lumendatabase.org/notices/74135845
S2 2025,footballwhispers.com,38235026,2025-11-15,7,0,Chi Rengo,Chi Rengo,https://lumendatabase.org/notices/74125606
S2 2025,footballwhispers.com,38525344,2025-11-15,7,0,Sandra Peck,Sandra Peck,https://lumendatabase.org/notices/74139345
S2 2025,footballwhispers.com,38254339,2025-11-15,4,0,Lorenzo Washington,Lorenzo Washington,https://lumendatabase.org/notices/74126649
S2 2025,footballwhispers.com,38206468,2025-11-15,7,0,Kevin Sherman,Kevin Sherman,https://lumendatabase.org/notices/74134163
S2 2025,footballwhispers.com,38352167,2025-11-15,4,0,Jenny Marschall,Jenny Marschall,https://lumendatabase.org/notices/74125619
S2 2025,footballwhispers.com,38444669,2025-11-15,4,0,Yiorgos Sova,Yiorgos Sova,https://lumendatabase.org/notices/74136687
S2 2025,footballwhispers.com,38251754,2025-11-15,4,0,Corey Cover,Corey Cover,https://lumendatabase.org/notices/74134288
S2 2025,vringe.com,38438496,2025-11-15,2,0,Mandy Champs,Mandy Champs,https://lumendatabase.org/notices/74136990
S2 2025,footballwhispers.com,38567717,2025-11-13,5,2,Дашка Плеханова,Дашка Плеханова,https://lumendatabase.org/notices/74033955
S2 2025,footballwhispers.com,38188910,2025-11-13,5,1,Юлия Ершова,Юлия Ершова,https://lumendatabase.org/notices/74024601
S2 2025,footballwhispers.com,38177946,2025-11-13,3,0,Diana Price,Diana Price,https://lumendatabase.org/notices/74024536
S2 2025,footballwhispers.com,38430214,2025-11-13,6,0,Erika Luna,Erika Luna,https://lumendatabase.org/notices/74029035
S2 2025,footballwhispers.com,38404080,2025-11-13,4,0,Bryce Laksana,Bryce Laksana,https://lumendatabase.org/notices/74016908
S2 2025,vringe.com,38177429,2025-11-13,6,0,Мария Казанцева,Мария Казанцева,https://lumendatabase.org/notices/74030970
S2 2025,vringe.com,38549356,2025-11-13,4,1,Роман Иванов,Роман Иванов,https://lumendatabase.org/notices/74033383
S2 2025,vringe.com,38525050,2025-11-13,6,2,Алина Константинова,Алина Константинова,https://lumendatabase.org/notices/74030634
S2 2025,vringe.com,38419841,2025-11-13,4,0,Kayla Roberts,Kayla Roberts,https://lumendatabase.org/notices/74029308
S2 2025,vringe.com,38344707,2025-11-13,7,0,Jessica Smith,Jessica Smith,https://lumendatabase.org/notices/74027196
S2 2025,vringe.com,38209556,2025-11-13,4,0,Петр Капитонов,Петр Капитонов,https://lumendatabase.org/notices/74020603
S2 2025,vringe.com,38306093,2025-11-13,5,1,Надя Смирнова,Надя Смирнова,https://lumendatabase.org/notices/74016333
S2 2025,vringe.com,38274564,2025-11-13,5,3,Катя Нестерова,Катя Нестерова,https://lumendatabase.org/notices/74021292
S2 2025,observador.pt,38265891,2025-11-12,1,0,IP Consult Group LLC,Maria Krueger,https://lumendatabase.org/notices/73990604
S2 2025,footballwhispers.com,38490291,2025-11-12,3,0,Colleen Jones,Colleen Jones,https://lumendatabase.org/notices/73952864
S2 2025,footballwhispers.com,38534792,2025-11-12,3,0,Joseph Johnson,Joseph Johnson,https://lumendatabase.org/notices/73948316
S2 2025,footballwhispers.com,38378608,2025-11-12,5,0,Amber Daniels,Amber Daniels,https://lumendatabase.org/notices/73949826
S2 2025,footballwhispers.com,38193752,2025-11-12,7,0,Kelly Atkins,Kelly Atkins,https://lumendatabase.org/notices/73949322
S2 2025,footballwhispers.com,38500545,2025-11-12,7,0,Timotea Galván,Timotea Galván,https://lumendatabase.org/notices/73949879
S2 2025,footballwhispers.com,38496546,2025-11-12,7,0,Michael Williams,Michael Williams,https://lumendatabase.org/notices/73952549
S2 2025,footballwhispers.com,38576595,2025-11-12,4,0,Theresa Lopez,Theresa Lopez,https://lumendatabase.org/notices/73948347
S2 2025,footballwhispers.com,38595479,2025-11-12,6,0,Shawn Season,Shawn Season,https://lumendatabase.org/notices/73949597
S2 2025,footballwhispers.com,38460103,2025-11-12,6,0,Олег Казаков,Олег Казаков,https://lumendatabase.org/notices/73950434
S2 2025,footballwhispers.com,38551504,2025-11-12,7,2,Анна Позднякова,Анна Позднякова,https://lumendatabase.org/notices/73948238
S2 2025,observador.pt,38416182,2025-11-10,1,0,Louis Fireison Law Office,Max Fournier,https://lumendatabase.org/notices/73897740
S2 2025,observador.pt,38301148,2025-11-10,1,0,OAAK Law Firm,Charles Huber,https://lumendatabase.org/notices/73898624
S2 2025,observador.pt,38255121,2025-11-10,1,0,Graham Ford Partners Co,Jennifer Martin,https://lumendatabase.org/notices/73890940
S2 2025,observador.pt,38556471,2025-11-10,1,0,Infringe Consult LLC,Julie Olofsson,https://lumendatabase.org/notices/73880885
S2 2025,observador.pt,38374687,2025-11-10,1,0,Graham Ford Partners Co,Elin Hill,https://lumendatabase.org/notices/73879332
S2 2025,footballwhispers.com,38350856,2025-11-10,7,0,Людмила Ефименко,Людмила Ефименко,https://lumendatabase.org/notices/73860173
S2 2025,footballwhispers.com,38364662,2025-11-10,4,0,Jen Bourque,Jen Bourque,https://lumendatabase.org/notices/73856974
S2 2025,footballwhispers.com,38189099,2025-11-10,7,0,Darance Hussein,Darance Hussein,https://lumendatabase.org/notices/73850464
S2 2025,footballwhispers.com,38523286,2025-11-10,5,0,Laura Turner,Laura Turner,https://lumendatabase.org/notices/73850091
S2 2025,vringe.com,38596861,2025-11-10,3,1,Костя Кожевников,Костя Кожевников,https://lumendatabase.org/notices/73859314
S2 2025,footballwhispers.com,38420609,2025-11-09,2,0,Jon Romney,Jon Romney,https://lumendatabase.org/notices/73820640
S2 2025,vringe.com,38571303,2025-11-09,5,2,Кристюша Некрасова,Кристюша Некрасова,https://lumendatabase.org/notices/73849875
S2 2025,vringe.com,38470222,2025-11-09,6,0,Mike Branch,Mike Branch,https://lumendatabase.org/notices/73853792
S2 2025,vringe.com,38325788,2025-11-09,3,0,Troy Harrison,Troy Harrison,https://lumendatabase.org/notices/73820357
S2 2025,vringe.com,38634688,2025-11-09,7,0,Jason Harris,Jason Harris,https://lumendatabase.org/notices/73819842
S2 2025,vringe.com,38175542,2025-11-09,5,0,Bernard Fulce,Bernard Fulce,https://lumendatabase.org/notices/73821846
S2 2025,vringe.com,38275309,2025-11-09,6,0,Роман Агапов,Роман Агапов,https://lumendatabase.org/notices/73821157
S2 2025,mrfixitstips.co.uk,38605585,2025-11-09,24,0,BALATACILAR BALATACILIK SANAYİ VE TİCARET A.Ş.,BALATACILAR BALATACILIK SANAYİ VE TİCARET A.Ş.,https://lumendatabase.org/notices/73852221
S2 2025,footballwhispers.com,38306538,2025-11-08,7,0,Robert Lane,Robert Lane,https://lumendatabase.org/notices/73811606
S2 2025,footballwhispers.com,38414721,2025-11-08,4,0,Chris Dente,Chris Dente,https://lumendatabase.org/notices/73813634
S2 2025,footballwhispers.com,38634886,2025-11-08,5,2,Жанибек Максимов,Жанибек Максимов,https://lumendatabase.org/notices/73811028
S2 2025,footballwhispers.com,38520800,2025-11-08,5,0,Denise Carter,Denise Carter,https://lumendatabase.org/notices/73814447
S2 2025,footballwhispers.com,38609285,2025-11-08,3,0,Maria Black,Maria Black,https://lumendatabase.org/notices/73816261
S2 2025,footballwhispers.com,38317419,2025-11-08,7,0,Jason Barlow,Jason Barlow,https://lumendatabase.org/notices/73814156
S2 2025,vringe.com,38435344,2025-11-08,7,0,Роза Антонова,Роза Антонова,https://lumendatabase.org/notices/73814174
S2 2025,vringe.com,38390196,2025-11-08,7,0,Jerome Scales,Jerome Scales,https://lumendatabase.org/notices/73812953
S2 2025,vringe.com,38487090,2025-11-08,6,0,Марина Агафонова,Марина Агафонова,https://lumendatabase.org/notices/73811625
S2 2025,observador.pt,38543675,2025-11-07,1,0,Louis Fireison Law Office,Michel Esposito,https://lumendatabase.org/notices/73769421
S2 2025,observador.pt,38244150,2025-11-07,1,0,IP Consult Group LLC,Kimberly Richter,https://lumendatabase.org/notices/73748021
S2 2025,observador.pt,38372752,2025-11-07,1,0,Lennox & Field Co,Oskar Jackson,https://lumendatabase.org/notices/73734968
S2 2025,observador.pt,38372227,2025-11-07,1,0,Grant and Voss LLP,James Michel,https://lumendatabase.org/notices/73740220
S2 2025,observador.pt,38476757,2025-11-07,1,0,Infringe Consult LLC,Oliver Hill,https://lumendatabase.org/notices/73736752
S2 2025,observador.pt,38526452,2025-11-07,1,0,Louis Fireison Law Office,Anna Clark,https://lumendatabase.org/notices/73730081
S2 2025,observador.pt,38056021,2025-11-04,1,0,IP Consult Group LLC,Ivy Evans,https://lumendatabase.org/notices/73611503
S2 2025,observador.pt,37925673,2025-11-04,1,0,Web DMCA,Alfie Mueller,https://lumendatabase.org/notices/73611929
S2 2025,observador.pt,37939949,2025-11-04,1,0,OAAK Law Firm,George White,https://lumendatabase.org/notices/73601766
S2 2025,observador.pt,38149261,2025-11-04,1,0,Lennox & Field Co,Giulia Greco,https://lumendatabase.org/notices/73603106
S2 2025,observador.pt,37957552,2025-11-04,1,0,OAAK Law Firm,Michel Perez,https://lumendatabase.org/notices/73606584
S2 2025,observador.pt,37884515,2025-11-04,1,0,Web DMCA,Ella Bertrand,https://lumendatabase.org/notices/73593025
S2 2025,observador.pt,38044426,2025-11-04,1,0,IP Consult Group LLC,Sandra Bauer,https://lumendatabase.org/notices/73596046
S2 2025,observador.pt,38166360,2025-11-04,1,0,IP Consult Group LLC,Sandra Bauer,https://lumendatabase.org/notices/73585959
S2 2025,mrfixitstips.co.uk,37992818,2025-11-04,28,3,AYEN ENERJİ A.Ş.,AYEN ENERJİ A.Ş.,https://lumendatabase.org/notices/73614796
S2 2025,mrfixitstips.co.uk,37926257,2025-11-02,18,0,ALKİM KAĞIT SANAYİ VE TİCARET A.Ş.,ALKİM KAĞIT SANAYİ VE TİCARET A.Ş.,https://lumendatabase.org/notices/73483387
S2 2025,observador.pt,37884332,2025-11-01,1,0,Louis Fireison Law Office,Marie Robert,https://lumendatabase.org/notices/73436939
S2 2025,observador.pt,38157692,2025-11-01,1,0,Louis Fireison Law Office,Ashley Thomas,https://lumendatabase.org/notices/73444269
S2 2025,observador.pt,38055597,2025-10-31,1,0,OAAK Law Firm,Wolfgang Mueller,https://lumendatabase.org/notices/73418086
S2 2025,observador.pt,38099051,2025-10-30,1,0,Louis Fireison Law Office,Filipe Giordano,https://lumendatabase.org/notices/73356616
S2 2025,observador.pt,38139799,2025-10-30,1,0,Louis Fireison Law Office,Inês Vitale,https://lumendatabase.org/notices/73356256
S2 2025,observador.pt,38125715,2025-10-30,1,0,Grant and Voss LLP,Inês Vitale,https://lumendatabase.org/notices/73357734
S2 2025,observador.pt,37983043,2025-10-29,1,0,Louis Fireison Law Office,Filipe Giordano,https://lumendatabase.org/notices/73348281
S2 2025,vringe.com,37922045,2025-10-29,81,34,Linkbusters,Linkbusters,https://lumendatabase.org/notices/73343926
S2 2025,observador.pt,38140156,2025-10-27,2,0,Benett Enterprises,Benett Enterprises,https://lumendatabase.org/notices/73242568
S2 2025,observador.pt,37844135,2025-10-26,2,0,Hayes Enterprises,Hayes Enterprises,https://lumendatabase.org/notices/73208391
S2 2025,observador.pt,37852433,2025-10-26,2,0,Hernandez Enterprises,Hernandez Enterprises,https://lumendatabase.org/notices/73191518
S2 2025,observador.pt,37781008,2025-10-24,1,0,OAAK Law Firm,Inês Vitale,https://lumendatabase.org/notices/73146737
S2 2025,observador.pt,37804208,2025-10-24,1,0,NAC Digital Partners,NAC Digital Partners,https://lumendatabase.org/notices/73151368
S2 2025,observador.pt,37811304,2025-10-24,1,0,Graham Ford Partners Co,Filipe Giordano,https://lumendatabase.org/notices/73127112
S2 2025,observador.pt,37755405,2025-10-24,1,0,WEB DMCA LLC,Filipe Giordano,https://lumendatabase.org/notices/73113411
S2 2025,observador.pt,37853290,2025-10-23,1,0,Halbrook & Sons Co,Filipe Giordano,https://lumendatabase.org/notices/73104092
S2 2025,observador.pt,37738148,2025-10-23,1,0,IP Consult Group LLC,Inês Vitale,https://lumendatabase.org/notices/73098091
S2 2025,observador.pt,37863541,2025-10-23,1,0,WEB DMCA LLC,Filipe Giordano,https://lumendatabase.org/notices/73066562
S2 2025,observador.pt,37772100,2025-10-23,1,0,OAAK Law Firm,Inês Vitale,https://lumendatabase.org/notices/73068272
S2 2025,mrfixitstips.co.uk,37831310,2025-10-23,25,0,AKÇA KİMYEVİ MADDELER NAKLİYAT TİCARET VE SANAYİ A.Ş.,AKÇA KİMYEVİ MADDELER NAKLİYAT TİCARET VE SANAYİ A.Ş.,https://lumendatabase.org/notices/73103928
S2 2025,mrfixitstips.co.uk,37861112,2025-10-22,14,0,DORUK FAKTORİNG A.Ş.,DORUK FAKTORİNG A.Ş.,https://lumendatabase.org/notices/73045286
S2 2025,observador.pt,37667484,2025-10-19,1,0,Louis Fireison Law Office,Julian Hayes,https://lumendatabase.org/notices/72912295
S2 2025,observador.pt,37638354,2025-10-19,1,0,Louis Fireison Law Office,Julian Hayes,https://lumendatabase.org/notices/72912506
S2 2025,observador.pt,37187571,2025-10-08,1,0,OAAK Law Firm,Julian Hayes,https://lumendatabase.org/notices/72349176
S2 2025,observador.pt,37263566,2025-10-08,1,0,OAAK Law Firm,Julian Hayes,https://lumendatabase.org/notices/72353383
S2 2025,mundodeportivo.com,37051322,2025-10-06,806,621,Advogado Joao Victor de Oliveira Rego,leticia vargas,https://lumendatabase.org/notices/72177562
S2 2025,mundodeportivo.com,37101154,2025-10-05,41,14,MyMedia Agency,Lucia Javorcekova,https://lumendatabase.org/notices/72160952
S2 2025,observador.pt,36863621,2025-10-02,21,0,Era Media International,Era Media International,https://lumendatabase.org/notices/72016500
S2 2025,observador.pt,36941845,2025-10-01,3,0,Tessa Entrepresis,Tessa Entrepresis,https://lumendatabase.org/notices/71983326
S2 2025,observador.pt,36861134,2025-09-30,3,0,Hardman Entrepresis,Hardman Entrepresis,https://lumendatabase.org/notices/71941827
S2 2025,observador.pt,35607753,2025-09-13,1,0,Grant Entrepresis,Grant Entrepresis,https://lumendatabase.org/notices/71163828
S2 2025,observador.pt,34606507,2025-09-13,1,0,Collins Entrepresis,Collins Entrepresis,https://lumendatabase.org/notices/71135346
S2 2025,observador.pt,33668984,2025-09-11,3,0,Davis Entrepresis,Davis Entrepresis,https://lumendatabase.org/notices/67525907
S2 2025,observador.pt,33699828,2025-09-11,3,0,Donovan Entrepresis,Donovan Entrepresis,https://lumendatabase.org/notices/67584567
S2 2025,observador.pt,35200670,2025-09-07,1,0,Briggs Entrepresis,Briggs Entrepresis,https://lumendatabase.org/notices/66638980
S2 2025,observador.pt,35672477,2025-09-05,14,0,English Media Networks,English Media Networks,https://lumendatabase.org/notices/65629037
S2 2025,observador.pt,35225098,2025-09-01,11,0,Smith & Co. Cooperation,Smith & Co. Cooperation,https://lumendatabase.org/notices/64789789
S2 2025,alairelibre.cl,32223756,2025-09-01,246,108,MyMedia Agency,Lucia Javorcekova,https://lumendatabase.org/notices/65088480
S2 2025,observador.pt,36325407,2025-08-29,2,0,Cavillers Media Networks,Cavillers Media Networks,https://lumendatabase.org/notices/64542067
S2 2025,footballwhispers.com,34532715,2025-08-28,7,1,Cassandra Cassandra Anderson,Cassandra Cassandra Anderson,https://lumendatabase.org/notices/64597853
S2 2025,footballwhispers.com,33443931,2025-08-28,5,1,Michael Michael Kegg,Michael Michael Kegg,https://lumendatabase.org/notices/64121180
S2 2025,footballwhispers.com,34909972,2025-08-28,6,1,Randy Randy Bejang,Randy Randy Bejang,https://lumendatabase.org/notices/64657070
S2 2025,vringe.com,34855608,2025-07-22,4,1,James James Burns,James James Burns,https://lumendatabase.org/notices/54719977
S2 2025,vringe.com,35688643,2025-07-22,4,2,Meghan Meghan Datbadbz,Meghan Meghan Datbadbz,https://lumendatabase.org/notices/54720092
S2 2025,footballwhispers.com,31896725,2025-07-06,5,1,Michelle Michelle Hernandez,Michelle Michelle Hernandez,https://lumendatabase.org/notices/54067403
S2 2025,footballwhispers.com,33940351,2025-07-06,2,0,Emmanuel Emmanuel Aviles,Emmanuel Emmanuel Aviles,https://lumendatabase.org/notices/54078969
S1 2025,mundodeportivo.com,32514970,2025-06-11,415,408,Leak Cleaner,Leak Cleaner,https://lumendatabase.org/notices/53043258
S1 2025,mundodeportivo.com,33560609,2025-06-10,621,619,Leak Cleaner,Leak Cleaner,https://lumendatabase.org/notices/53019165
S1 2025,mundodeportivo.com,33560670,2025-05-28,82,73,Jonan Wiergo,Jonan Wiergo,https://lumendatabase.org/notices/52196713
S1 2025,alairelibre.cl,35061552,2025-05-21,643,397,mikayla demaiter,Mikayla Demaiter,https://lumendatabase.org/notices/52287058
S1 2025,mundodeportivo.com,33225896,2025-05-20,30,19,Alina Rose,Alina Rose,https://lumendatabase.org/notices/52396609
S1 2025,footballwhispers.com,32836475,2025-05-16,26,4,King.rs,King.rs,https://lumendatabase.org/notices/52064493
S1 2025,mundodeportivo.com,35952161,2025-05-09,718,645,Traqeer,Edgar Cerro,https://lumendatabase.org/notices/51831296
S1 2025,mundodeportivo.com,32823872,2025-05-02,30,0,Alina Rose,Alina Rose,https://lumendatabase.org/notices/51514600
S1 2025,mundodeportivo.com,35203041,2025-04-30,39,0,Alina Rose,Alina Rose,https://lumendatabase.org/notices/51442975
S1 2025,mundodeportivo.com,32099189,2025-04-28,212,199,Traqeer,Edgar Cerro,https://lumendatabase.org/notices/51396942
S1 2025,mundodeportivo.com,36362605,2025-04-15,2934,989,Remove Your Media LLC,Viz Media LLC,https://lumendatabase.org/notices/50948447
S1 2025,mundodeportivo.com,31549440,2025-04-01,76,71,Leak Cleaner,Leak Cleaner,https://lumendatabase.org/notices/50485997
S1 2025,mundodeportivo.com,31446537,2025-03-27,171,160,Leak Cleaner,Leak Cleaner,https://lumendatabase.org/notices/50348566
S1 2025,mundodeportivo.com,31348160,2025-03-23,440,436,Leak Cleaner,Leak Cleaner,https://lumendatabase.org/notices/50199203
S1 2025,mundodeportivo.com,31178615,2025-03-15,89,86,RemoveLabs GmbH,RemoveLabs GmbH,https://lumendatabase.org/notices/49954334
S1 2025,mundodeportivo.com,31145599,2025-03-13,174,145,Leak Cleaner,Leak Cleaner,https://lumendatabase.org/notices/49906741
S1 2025,vringe.com,31106838,2025-03-13,43,0,LinkBusters,LinkBusters,https://lumendatabase.org/notices/49881237
S1 2025,mundodeportivo.com,30928613,2025-03-06,110,107,Leak Cleaner,Leak Cleaner,https://lumendatabase.org/notices/49659291
S1 2025,mundodeportivo.com,30849270,2025-03-03,207,203,Leak Cleaner,Leak Cleaner,https://lumendatabase.org/notices/55473800
S1 2025,mundodeportivo.com,30676959,2025-02-25,20,0,Alina Rose,Alina Rose,https://lumendatabase.org/notices/49343533
S1 2025,mundodeportivo.com,30694126,2025-02-23,25,0,Alina Rose,Alina Rose,https://lumendatabase.org/notices/49289164
S1 2025,mundodeportivo.com,30609202,2025-02-21,853,843,Darja Sobakinskaja,Darja Sobakinskaja,https://lumendatabase.org/notices/49238132
S1 2025,mundodeportivo.com,30609592,2025-02-21,17,0,Alina Rose,Alina Rose,https://lumendatabase.org/notices/49234705
S1 2025,mundodeportivo.com,30602458,2025-02-20,343,336,Leak Cleaner,Leak Cleaner,https://lumendatabase.org/notices/49193761
S1 2025,mundodeportivo.com,30509805,2025-02-18,20,0,Alina Rose,Alina Rose,https://lumendatabase.org/notices/49139143
S1 2025,mundodeportivo.com,30415996,2025-02-13,68,63,RemoveLabs GmbH,RemoveLabs GmbH,https://lumendatabase.org/notices/49015497
S1 2025,mundodeportivo.com,30286513,2025-02-06,246,0,Dmca,RainHearts,https://lumendatabase.org/notices/48818598
S1 2025,mundodeportivo.com,30269604,2025-02-05,281,268,Leak Cleaner,Leak Cleaner,https://lumendatabase.org/notices/48791708
S1 2025,mundodeportivo.com,30253002,2025-02-05,476,0,Dmca,RainHearts,https://lumendatabase.org/notices/48787114
S1 2025,vringe.com,30230713,2025-02-04,59,0,LinkBusters,LinkBusters,https://lumendatabase.org/notices/48744179
S1 2025,mundodeportivo.com,29920407,2025-01-23,52,2,Leaks Protection,sophie rain,https://lumendatabase.org/notices/48350160
S1 2025,mundodeportivo.com,29890972,2025-01-23,9927,2932,Remove Your Media LLC,"NBA Properties, Inc.",https://lumendatabase.org/notices/48332220
S1 2025,mundodeportivo.com,29875422,2025-01-21,134,125,SimpleDMCA,KatianaKay,https://lumendatabase.org/notices/48289660
S1 2025,mundodeportivo.com,29707256,2025-01-18,486,320,SimpleDMCA,Katianakayfree,https://lumendatabase.org/notices/48071115
S1 2025,mundodeportivo.com,29706482,2025-01-14,167,156,SimpleDMCA,KatianaKay,https://lumendatabase.org/notices/48081215
S1 2025,mundodeportivo.com,29654262,2025-01-12,56,52,Leak Cleaner,Leak Cleaner,https://lumendatabase.org/notices/55383264
S1 2025,mundodeportivo.com,29651505,2025-01-12,297,286,Leak Cleaner,Leak Cleaner,https://lumendatabase.org/notices/48024495
S1 2025,mundodeportivo.com,29644352,2025-01-09,124,111,SimpleDMCA,KatianaKay,https://lumendatabase.org/notices/47923500
